estacaoId0,nome0,estacaoId1,nome1
124,Comendador Ermelino,125,São Miguel Paulista
125,São Miguel Paulista,199,Jardim Helena-Vila Mara
199,Jardim Helena-Vila Mara,126,Itaim Paulista
126,Itaim Paulista,207,Jardim Romano
207,Jardim Romano,127,Engenheiro Manoel Feio
127,Engenheiro Manoel Feio,128,Itaquaquecetuba
128,Itaquaquecetuba,129,Aracaré
129,Aracaré,163,Calmon Viana
367,Aeroporto-Guarulhos-Jade,366,Guarulhos-CECAP-Jade
366,Guarulhos-CECAP-Jade,362,Engenheiro Goulart-Jade
342,Vila Prudente,341,Oratório
341,Oratório,355,São Lucas
355,São Lucas,356,Camilo Haddad
356,Camilo Haddad,357,Vila Tolstói
357,Vila Tolstói,358,Vila União
358,Vila União,371,Jardim Planalto
371,Jardim Planalto,372,Sapopemba
372,Sapopemba,373,Fazenda da Juta
373,Fazenda da Juta,374,São Mateus
336,Morumbi,142,Diadema
142,Diadema,143,Piraporinha
143,Piraporinha,144,São Bernardo
144,São Bernardo,180,Santo André
180,Santo André,146,Sônia Maria
146,Sônia Maria,147,São Mateus
142,Diadema,337,Jabaquara
144,São Bernardo, 145,Ferrazópolis
